Program Time [s],data 0,data 1,data 2
2109.24,479.75,2050,4050
2110.25,480.2,2050,4050
2111.25,481.1,2050,4050
2112.26,481.1,2050,4050
2113.27,481.55,2050,4050
2114.28,482,2050,4050
2115.28,482.9,2050,4050
2116.29,483.35,2050,4050
2117.3,483.8,2050,4050
2118.31,484.25,2050,4050
2119.31,484.25,2050,4050
2120.32,485.15,2050,4050
2121.34,485.15,2050,4050
2122.34,485.6,2050,4050
2123.35,486.05,2050,4050
2124.36,486.95,2050,4050
2125.36,486.95,2050,4050
2126.37,487.4,2050,4050
2127.38,487.85,2050,4050
2128.38,488.75,2050,4050
2129.39,488.75,2050,4050
2130.4,489.2,2050,4050
2131.41,489.65,2050,4050
2132.42,490.1,2050,4050
2133.43,490.55,2050,4050
2134.43,491,2050,4050
2135.44,491.45,2050,4050
2136.44,491.9,2050,4050
2137.44,492.8,2050,4050
2138.45,492.8,2050,4050
2139.46,493.25,2050,4050
2140.47,493.7,2050,4050
2141.48,494.15,2050,4050
2142.48,494.6,2050,4050
2143.49,495.05,2050,4050
2144.49,495.5,2050,4050
2145.5,495.95,2050,4050
2146.51,496.4,2050,4050
2147.52,496.85,2050,4050
2148.52,497.3,2050,4050
2149.53,497.75,2050,4050
2150.54,498.2,2050,4050
2151.55,498.65,2050,4050
2152.56,499.1,2050,4050
2153.56,499.1,2050,4050
2154.57,499.55,2050,4050
2155.58,500.45,2050,4050
2156.59,500.9,2050,4050
2157.59,501.35,2050,4050
2158.6,501.8,2050,4050
2159.61,501.8,2050,4050
2160.61,502.25,2050,4050
2161.62,503.15,2050,4050
2162.63,503.15,2050,4050
2163.64,503.6,2050,4050
2164.65,504.05,2050,4050
2165.66,504.95,2050,4050
2166.66,505.4,2050,4050
2167.67,505.4,2050,4050
2168.68,505.85,2050,4050
2169.69,506.3,2050,4050
2170.69,506.75,2050,4050
2171.7,507.2,2050,4050
2172.71,507.65,2050,4050
2173.72,508.1,2050,4050
2174.73,508.55,2050,4050
2175.74,509,2050,4050
2176.74,509.45,2050,4050
2177.75,509.9,2050,4050
2178.76,510.35,2050,4050
2179.77,510.35,2050,4050
2180.77,511.25,2050,4050
2181.78,511.7,2050,4050
2182.79,511.7,2050,4050
2183.79,512.6,2050,4050
2184.79,513.05,2050,4050
2185.8,513.5,2050,4050
2186.81,513.95,2050,4050
2187.82,514.4,2050,4050
2188.83,514.85,2050,4050
2189.83,514.85,2050,4050
2190.84,515.3,2050,4050
2191.85,516.2,2050,4050
2192.86,516.2,2050,4050
2193.87,516.65,2050,4050
2194.87,516.65,2050,4050
2195.88,517.55,2050,4050
2196.89,518.45,2050,4050
2197.9,518.45,2050,4050
2198.9,518.9,2050,4050
2199.91,519.35,2050,4050
2200.92,519.35,2050,4050
2201.92,519.8,2050,4050
2202.93,520.7,2050,4050
